From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 25-26",,GD406/1/6589
Person,Robert Spencer,WROTE LETTER TO,Person,Countess of Arran,1687/1688,,GD406/1/6615
Person,Unknown,Business,Person,Hamilton,"1688, May 14",,GD406/1/6621
Person,V. de Vallace,WROTE LETTER TO,Person,Hamilton,c 1689,,GD406/1/6622
Person,James Hay,WROTE LETTER TO,Person,Hamilton,"1692, Mar 16",,GD406/1/6624
Person,Countess of Arran,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/6630
Person,Marquis of Hamilton,WROTE LETTER TO,Person,Hamilton of Orbiston,"1688, Nov 5",,GD406/1/6631
Person,Countess of Arran,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/6920
Person,Countess of Cassillis,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/6927
Person,Countess of Cassillis,WROTE LETTER TO,Person,Arran,"1688, Feb 5",,GD406/1/6929
Person,Unknown,WROTE LETTER TO,Person,Arran,n.d.,,GD406/1/6970
Person,Arran,WROTE LETTER TO,Person,Unknown,c 1690,,GD406/1/6974
Person,Arran,WROTE LETTER TO,Person,Duchess of Hamilton,"1690, Jun",,GD406/1/6975
Person,Countess of Arran,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/6988
Person,Countess of Arran,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/6989
Person,Countess of Arran,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/6990
Person,Countess of Arran,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/6991
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Aug 25",,GD406/1/6993
Person,Countess of Arran,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/7005
Person,Countess of Sunderland,WROTE LETTER TO,Person,Arran,"1691, Feb 4",,GD406/1/7028
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1689, Jul 10",,GD406/1/7139
Person,Countess of Arran,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/7311
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Feb 16",,GD406/1/7553
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Feb 25",,GD406/1/7554
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Mar 1",,GD406/1/7555
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Mar 13",,GD406/1/7556
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Mar 17",,GD406/1/7557
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1688, Mar 17",,GD406/1/7558
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Mar 22",,GD406/1/7592
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, May 8",,GD406/1/7593
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1689, May 8",,GD406/1/7594
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, May 14",,GD406/1/7595
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, May 21",,GD406/1/7596
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, May 26",,GD406/1/7597
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Jun 5",,GD406/1/7599
