Edge Type,From Location,To Location,Date
Letter,Whitehall,,"1688, Jan 10"
Letter,,,"1690, May 17"
Letter,London,London,1689
Letter,London,,"1689, Nov 23"
Letter,,,"1691-1693, Dec 14"
Letter,Cassillis,,"1689, Jul 1"
Letter,London,,"1688, Jan 6"
Letter,,,"1688, Jan 12"
Letter,,,"1688, Jan 12"
Letter,,,"1688, Jan 24"
Letter,,,1688
Letter,,,1691
Letter,Edinburgh,,"1688, Jun 28"
Communicated,,,"1690, May 12"
Communicated,,,"1690, May 15"
Letter,,,n.d.
Letter,Camp de Lessine,,n.d.
Letter,,,"1688, Nov 24"
Letter,Dublin,,"1689, Mar 30"
Letter,Dublin,,"1689, Mar 29"
Letter,Edinburgh,,"1688, Jul 21"
Letter,Hamilton,,"1688, Jul 12"
Letter,Edinburgh,,"1688, Jun 28"
Letter,Spittel,,"1688, Jun 30"
Letter,Lanark,,"1688, Jun 29"
Letter,Edinburgh,Lanark,"1688, Jun 19"
Letter,York,,"1688, Jan 21"
Letter,Hamilton,York,"1688, May 23"
Letter,,,1688
Letter,Edinburgh,,"1692, Jan 23"
Letter,London,,"1691, Dec 1-1692, Jan 30"
Letter,Paisley,,"1691, Sep 26"
Letter,Paisley,,"1691, Oct 9"
Letter,,,1690
Letter,Edinburgh,,"1688, Jul 24"
Letter,Kinross,,"1692, Mar 10"
Letter,Hamilton,,"1688, Jun 29"
Letter,Edinburgh,Kinneil,"1692, Aug 9"
Letter,"3 King Street, Covent Garden",,"1691, Aug 22"
Letter,,,"1692, Mar 18"
Letter,,,"1692, Mar 28"
Letter,Lichfield,,"1691, Mar 13"
Letter,London,,"1689, Oct 26"
Letter,,,"1690, Oct 21"
Letter,,,"1690, Dec 8"
Letter,,,"1691, Feb 11"
Letter,,,"1690, Nov 13"
Letter,Tower of London,Kinneil,"1689, Jun 15"
Letter,,,"1689, Jun 15"
Letter,Whitehall ,,"1688, Feb 11"
Letter,,Whitehall,"1688, Feb 25"
Letter,Holyrood House,Hampton Court,"1689, Mar 23"
Letter,Hampton Court,Holyrood House,"1689, Apr 2"
Letter,Holyrood House,Hampton Court,"1689, Apr 17"
Letter,Hampton Court,Holyrood House,"1689, Apr 25"
Letter,Hampton Court,Holyrood House,"1689, May 17"
Letter,Holyrood House,Hampton Court,"1689, May 25"
Letter,Copt-Hall,Holyrood House,"1689, May 31"
Letter,Holyrood House,,"1689, Jun 6"
Letter,Holyrood House,Hampton Court,"1689, Jun 22"
Letter,Hampton Court,,"1689, Jul 4"
Letter,Whitehall,,"1689, Jul 17"
Letter,Hampton Court,,"1689, Jul 27"
Letter,Kensington,,"1690, Jan 21"
Letter,Holyrood House,,"1690, Feb 20"
Letter,Kensington ,,"1691, Jul 22"
Letter,Holyrood House,,"1691, Jul 29"
Letter,Edinburgh,"Post Office, Berwick","1691, Jul 29"
Letter,"Post Office, Berwick",,"1691, Jul 31"
Letter,Plymouth,,"1690, Mar 7"
Memorandum,Portsmouth,,"1690, Feb 8"
Letter,Edinburgh,,"1692, Sep 21"
Letter,Edinburgh,,"1688, Oct 18"
Letter,,,"1688, Oct"
Letter,Edinburgh,,"1691, Sep 25"
Letter,Mason,Hamilton,1688
Letter,,,"1692, Jan 6"
Letter,Berwick,,"1691, Aug 31"
Letter,Whitehall,,"1691, Jun 26"
Letter,Fort William,,"1692, Nov 19"
Letter,,,"1692, Jun 29"
Letter,Hamilton,,"1688, Jan 18"
Letter,Holyrood House,,n.d.
Letter,Kinneil,,n.d.
Letter,,,n.d.
Letter,London,,1690. Dec 30
Letter,London,,"1691, Jan 17"
Letter,Culross,,"1690, May 27"
Letter,Wishaw,,"1691, Nov 5"
Letter,Wishaw,,"1691, Nov 3"
Letter,Wishaw,,"1691, Jun 13"
Letter,Edinburgh Castle,,"1692, Dec 9"
Letter,Glasgow,,"1691, Oct 19"
Letter,Linlithgow,Bo'ness,"1689, Dec 20"
Letter,Wishaw,,"1689, Oct 23"
Letter,Amsterdam,Edinburgh,"1689, Sep 10"
Letter,Kensington,Holyrood House,"1692, Feb"
