"From Type","From Name","Edge Type","To Type","To Name","Weight","From ID","Edge Type ID","To ID","Edge ID"
"Person","John Craig","Letter","Person","His wife","1","77e7ea18-6d16-41c3-be76-551bb0d5e473","9d957034-5dba-4505-a312-154a15d00bd0","a14bf4d5-3126-4dd3-b664-1f569ed17fa2","10d44d61-1d02-4380-8c41-7de58d9df422"
"Person","J. Smith","Letter","Person","Hamilton","1","d16a1eb0-8541-4c2c-bde0-5a6e11aacb98","9d957034-5dba-4505-a312-154a15d00bd0","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","ee63c54c-57b7-47a9-9059-fa249710bdcf"
"Person","Scrimgeour","Letter","Person","Melville","1","675dee96-5c8c-4232-9bc6-5e4a42ec28a3","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","54e3664e-5d0a-4c89-a5f4-8d0eb253b91c"
"Person","Atholl","Letter","Person","Mackay","1","c2e63411-b0c7-499e-8afb-c5c3ca6e4a7d","9d957034-5dba-4505-a312-154a15d00bd0","ccb46484-a60b-4069-b490-da0a66f93e59","30ffa4d4-3c6a-444f-8e24-57c66e43af70"
"Person","Selkirk","Letter","Person","David Crawford","1","6eb7e620-4d2d-4f69-a2da-6d5ca8f719ce","9d957034-5dba-4505-a312-154a15d00bd0","dd41a120-17bc-4c2b-afea-8ad04d059ee5","55cf0017-88c6-46a9-90c8-756931ee6f12"
"Person","Unknown","Letter","Person","Martha Ward","1","51499f34-96db-46f3-b28a-c007cb43b8f2","9d957034-5dba-4505-a312-154a15d00bd0","c924580d-844b-425e-a450-4d78898cfd0a","f029fca5-5c26-42bf-b480-97539e05ec83"
"Person","Ross","Letter","Person","Cochrane","1","61d5b73b-2550-4048-98e5-44640e509cd3","9d957034-5dba-4505-a312-154a15d00bd0","a024458e-d2c4-4027-838d-da44028fe8a2","67340763-9c02-4e05-9d46-4ef5db6c65ae"
"Person","Melville","Letter","Person","Laird of Westshields","1","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","9d957034-5dba-4505-a312-154a15d00bd0","eadd2a55-2bcc-4ea3-b99c-41776ef74049","6bfb7856-3df6-48d5-9c30-48028c991f5f"
"Person","Breadalbane","Letter","Person","Hill","1","6c011551-84a2-4b68-8e01-6b90b0c97ee2","9d957034-5dba-4505-a312-154a15d00bd0","ce5ac88b-be77-4c06-aaee-83d8b9f3ccc9","8a71a046-69a7-4d26-b9b1-18ed68bb7cfd"
"Person","Countess Mar","Letter","Person","Queen Mary","1","3c4a4a96-9eca-4069-8da0-d04dc9738e4b","9d957034-5dba-4505-a312-154a15d00bd0","9b0a33f4-c002-47c1-b224-c95e0f15d8e0","200af253-12e7-4dd3-8e88-c344791d884f"
"Person","W. Chetwynd","Letter","Person","Edward Hungerford","1","ba4d8f74-0db7-48ba-99ae-3f65b57b6bd3","9d957034-5dba-4505-a312-154a15d00bd0","18507ec6-3e6f-4a0c-a811-f2c516385558","2d058b1b-dcaa-4baf-98ea-fab879dbe935"
"Person","Melville","Letter","Person","Atholl","1","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","9d957034-5dba-4505-a312-154a15d00bd0","c2e63411-b0c7-499e-8afb-c5c3ca6e4a7d","e926cfde-34c3-4ddd-b73e-a7d9caa449da"
"Person","William Tillyduff","Letter","Person","Scrimgeour","1","1f5126e3-d5c5-4546-99d5-14fb13f0e74e","9d957034-5dba-4505-a312-154a15d00bd0","675dee96-5c8c-4232-9bc6-5e4a42ec28a3","11a2ab68-4ff1-4add-96e7-b37c4dd81dfa"
"Person","J. Pulteney","Letter","Person","Melville","1","56a2f9a4-15ee-4bb0-9667-e3601daa2b3c","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","494bd5d2-cdbf-403b-bed2-e4422bd442bc"
"Person","James Kilpatrick","Letter","Person","William Anderson","1","332be5fc-589a-4188-8acb-dfe5604ea045","9d957034-5dba-4505-a312-154a15d00bd0","6861145c-e69c-48c3-9fda-7885d3496c15","2bc17873-8de9-45d6-b60c-d5c13c2daf3c"
