"Node Type","Name","Description","Reference","Image","Node Type ID","Node ID"
"Person","Cochrane",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","a024458e-d2c4-4027-838d-da44028fe8a2"
"Person","Countess Balcarres",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","ec46d6a0-32dc-4ce7-b8ae-29fb30d0dd8d"
"Person","Angus Campbell",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","99e3eacd-241f-4bce-ad03-6cdb3784342f"
"Person","Countess of Rothes",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","a87351be-2fc7-42b1-b0b6-26778a8c0b1e"
"Person","John McNaughton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","eb940167-258f-4372-b32f-f935a3ae40e7"
"Person","James Coull",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","2aaba773-117e-4f68-a2c1-a689e1948180"
"Person","Colonel Codrington",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","10a472e4-b406-42d8-9bc1-bb393bab89b8"
"Person","Blackbarrony",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","5b66a2e6-1a8a-465a-8e23-713da1d6eba0"
"Person","George Stirling",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","3196da6e-71fd-4723-956f-68c448e4bb98"
"Person","Her husband*",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","db69e1f7-ebca-4a19-a4f8-70b4b2599cf8"
"Person","Scrimgeour",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","675dee96-5c8c-4232-9bc6-5e4a42ec28a3"
"Person","Countess of Dundonald",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","03fb2745-6edf-4aaa-b96d-aa88dd409ef1"
"Person","J. Lockhart",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","c4d4a406-39d1-4046-a6db-c87afeae83bc"
"Person","Charles Hamilton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","ae16f8fe-512b-47bd-aece-c301c8053478"
"Person","Andrew McNeillie",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","31df9fd7-181d-4477-bdf3-d7e7c8fc58e9"
"Person","Mr. Law",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","006c03eb-4059-4382-8181-ebe754eeae8e"
"Person","Walter Corbets",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","57102709-8c5f-4095-a48a-68baa64a4e48"
"Person","Kintore",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","52dd279b-c286-450b-88c8-b7644f3a2e10"
"Person","W. B.",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","1299d078-6f73-44b5-953f-fdf9c0524d48"
"Person","Laird Cassingray",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","da35ed6d-e0d8-4a4a-b5e8-add6a9c35cd7"
"Person","Charles Spencer",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","ec7d6e53-d38b-48aa-86a6-d7bebedaff42"
"Person","David Lindsay",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","e1f63dd1-f73f-4a4e-ab32-090c97182ba4"
"Person","Livingston",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","f63375ce-620b-4441-b2d3-9c2d408ddc76"
"Person","A. Brackin",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","38c06f0d-f33a-4cad-9dd1-8d33f5805860"
